playerid,inst_id,inst_followers,inst_follows,inst_posts,inst_likes_12,inst_comments_12,inst_likes_per_week,inst_comments_per_week
1626246,1176473261,907812,849,318,482302,2490,31850.132075471698,164.43396226415095
1629029,237213623,6326278,607,1545,3707187,10603,312654.3253012048,894.2289156626506
1628978,35630326791,78044,56,41,32402,12,1938.5811965811965,0.717948717948718
201588,12793727,293022,1444,1168,1274,31,193.8695652173913,4.717391304347826
203918,52348768,209408,454,57,23268,221,1467.3513513513512,13.936936936936936
1628960,190373246,390108,183,81,88752,10422,5547.0,651.375
1626171,12945947,261064,435,265,214872,2455,22789.454545454544,260.3787878787879
201572,0,0,0,0,0,0,0.0,0.0
1629670,431872512,86909,641,85,67382,1009,3997.237288135593,59.85593220338983
201950,8714550,502026,2962,160,203736,1411,13846.135922330097,95.89320388349515
203114,197686276,408096,468,433,148933,1232,8835.00847457627,73.08474576271186
202083,145228975,225566,394,644,26001,254,3309.218181818182,32.32727272727273
1626192,26559007,180223,975,327,204066,1874,12986.018181818183,119.25454545454546
1629623,192742453,35525,448,23,16571,884,1064.1926605504586,56.77064220183486
203507,912639211,12001866,90,763,6580477,24483,3543333.769230769,13183.153846153846
1628400,6324952272,112671,1129,182,8201,177,597.9895833333334,12.90625
203648,33888088,1429687,658,738,492596,1634,215510.75,714.875
1630572,536323287,31011,859,57,36090,536,2317.706422018349,34.42201834862385
1630210,7631806405,60230,1512,33,0,0,0.0,0.0
203210,2258085878,38799,704,245,12904,180,785.4608695652174,10.956521739130435
1629008,5650880959,739422,122,49,16514,19,8892.153846153846,10.23076923076923
1630538,0,0,0,0,0,0,0.0,0.0
202326,26010027,3050411,1449,193,1185100,19882,73413.27433628318,1231.628318584071
203115,28489967,115038,722,17,36846,1146,2282.495575221239,70.99115044247787
1630267,196829507,623494,271,682,480901,2788,28771.8547008547,166.8034188034188
1627854,28222547,109513,388,29,65608,1352,4332.603773584906,89.28301886792453
1628432,32839690,33019,1293,317,9683,548,639.4433962264151,36.18867924528302
1628420,0,0,0,0,0,0,0.0,0.0
203999,0,0,0,0,0,0,0.0,0.0
1630192,13072497595,29866,193,67,39676,468,2893.041666666667,34.125
203085,54752764,430084,609,474,55766,670,3682.6603773584907,44.24528301886792
1627750,3409983864,1561,25,18,0,0,0.0,0.0
1628427,975090868,24153,416,203,14289,185,854.8974358974358,11.068376068376068
201145,277152432,323261,981,598,92448,953,6163.2,63.53333333333333
203932,1259753047,1167901,1042,177,145122,1023,9235.036363636364,65.10000000000001
1628975,1203616175,85154,610,468,45055,450,4043.397435897436,40.38461538461539
1628971,29282491,78679,685,67,28323,945,1888.2,63.0
201933,26867055,3833985,531,167,72594,580,5031.267326732674,40.198019801980195
1630561,426686677,34502,395,32,79458,1311,5150.055555555556,84.97222222222221
201142,13864937,12707182,2444,29,577519,93,58588.88405797101,9.434782608695652
201988,1339157767,584823,303,737,482789,3831,28399.352941176472,225.35294117647058
202681,10768203,15917997,686,309,3260185,39317,304283.93333333335,3669.586666666667
203925,7656527741,132616,464,93,0,0,0.0,0.0
201935,12043476,11623351,478,43,2211079,17043,132286.77777777778,1019.6666666666666
1630556,270160540,12749,523,15,8872,318,722.1395348837209,25.883720930232556
201949,6936964476,79288,550,14,13687,145,847.8672566371681,8.982300884955752
1630549,1491880010,42392,557,38,29569,672,2049.3366336633662,46.57425742574257
200746,3526338795,402620,238,306,74717,891,4842.768518518518,57.75
1630560,358589750,102789,224,13,153125,1439,9570.3125,89.9375
200794,268098118,257021,435,1,5240,311,6113.333333333334,362.83333333333337
1629651,717702037,100327,476,14,95776,2062,10314.33846153846,222.06153846153845
1627761,15566490,71731,471,513,11588,440,772.5333333333333,29.333333333333332
1630206,4935797095,49325,891,15,13411,361,1268.6081081081081,34.14864864864865
202704,192371147,179605,508,234,0,0,0.0,0.0
202695,0,0,0,0,0,0,0.0,0.0
1630527,1204377997,466213,177,46,114058,503,7751.514563106796,34.18446601941748
